"","district","median","average","st_dev"
"1","Angul",NA,NA,NA
"2","Balasore",NA,NA,NA
"3","Bhadrak",NA,NA,NA
"4","Bolangir",NA,NA,NA
"5","Baragarh",NA,NA,NA
"6","Boudh",NA,NA,NA
"7","Cuttack",NA,NA,NA
"8","Dhenkanal",NA,NA,NA
"9","Deogarh",NA,NA,NA
"10","Ganjam",NA,NA,NA
"11","Gajapati",NA,NA,NA
"12","Jagatsingpur",NA,NA,NA
"13","Jajpur",NA,NA,NA
"14","Jharsuguda",NA,NA,NA
"15","Kalahandi",NA,NA,NA
"16","Koaraput",NA,NA,NA
"17","Keonjhar",NA,NA,NA
"18","Kandhamal",NA,NA,NA
"19","Kendrapara",NA,NA,NA
"20","Khurda",NA,NA,NA
"21","Mayurbhanj",NA,NA,NA
"22","Malkangiri",NA,NA,NA
"23","Nuapara",NA,NA,NA
"24","Nawarangpur",NA,NA,NA
"25","Nayagarh",NA,NA,NA
"26","Puri",NA,NA,NA
"27","Rayagada",NA,NA,NA
"28","Sambalpur",NA,NA,NA
"29","Sonepur",NA,NA,NA
"30","Sundargarh",NA,NA,NA
