state,order,seasonal_order
Angul,(2  1  1),(1  0  1  12)
Balasore,(0  1  2),(1  0  1  12)
Bhadrak,(0  1  2),(1  0  0  12)
Bolangir,(0  1  1),(1  0  1  12)
Baragarh,(2  1  1),(1  0  1  12)
Boudh,(2  1  2),(2  0  0  12)
Cuttack,(0  1  1),(1  0  1  12)
Dhenkanal,(2  1  2),(1  0  1  12)
Deogarh,(1  0  2),(1  0  1  12)
Ganjam,(2  1  2),(2  0  0  12)
Gajapati,(1  0  0),(2  0  0  12)
Jagatsingpur,(1  0  0),(1  0  0  12)
Jajpur,(0  1  0),(0  0  0  12)
Jharsuguda,(0  1  2),(1  0  2  12)
Kalahandi,(1  0  0),(2  0  0  12)
Koaraput,(1  1  1),(1  0  1  12)
Keonjhar,(1  0  0),(2  0  0  12)
Kandhamal,(1  0  0),(2  0  0  12)
Kendrapara,(0  1  1),(0  0  0  12)
Khurda,(0  1  1),(1  0  0  12)
Mayurbhanj,(0  1  0),(0  0  0  12)
Malkangiri,(1  0  0),(0  0  1  12)
Nuapara,(1  1  1),(1  0  1  12)
Nawarangpur,(1  0  0),(0  0  2  12)
Nayagarh,(1  1  2),(2  0  0  12)
Puri,(3  1  1),(0  0  1  12)
Rayagada,(1  1  1),(1  0  1  12)
Sambalpur,(1  1  1),(1  0  1  12)
Sonepur,(1  1  1),(1  0  1  12)
Sundargarh,(0  1  2),(2  0  1  12)
