,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,68,70,75,70,70,72,79,75,79,74,62,58
2004,68,72,72,69,74,75,71,74,76,66,60,56
2005,69,74,70,73,73,73,73,74,78,77,74,66
2006,64,68,70,70,73,75,73,72,78,75,66,60
2007,61,69,71,71,77,75,77,75,76,73,62,62
2008,64,70,68,72,75,75,76,75,77,80,70,63
2009,62,68,71,71,77,75,75,75,79,80,68,66
2010,73,75,69,71,75,75,79,81,81,80,66,69
2011,60,73,76,77,78,79,80,81,81,81,65,61
2012,72,76,72,70,74,75,78,79,85,78,79,70
2013,67,70,73,71,72,80,79,79,83,79,73,63
2014,59,74,74,71,70,76,76,80,79,80,73,65
2015,66,67,76,72,72,74,74,73,81,81,75,71
2016,73,67,73,73,73,81,80,82,80,82,76,68
2017,73,62,73,71,81,76,77,78,78,81,72,66
